hero	book
HOGUN [ASGARDIAN]	T 326/2
BALDER [ASGARDIAN]	T 326/2
SIF	T 326/2
LOKI [ASGARDIAN]	T 326/2
ODIN [ASGARDIAN]	T 326/2
HEIMDALL [ASGARDIAN]	T 326/2
HOGUN [ASGARDIAN]	T 327
HEIMDALL [ASGARDIAN]	T 327
THOR/DR. DONALD BLAK	T 327
LOKI [ASGARDIAN]	T 327
IRON MAN/TONY STARK 	T 327
SIF	T 327
ODIN [ASGARDIAN]	T 327
VOLSTAGG	T 327
BALDER [ASGARDIAN]	T 327
FANDRAL [ASGARDIAN]	T 327
ODIN [ASGARDIAN]	T 328
SIF	T 328
BALDER [ASGARDIAN]	T 328
HOGUN [ASGARDIAN]	T 328
FANDRAL [ASGARDIAN]	T 328
HEIMDALL [ASGARDIAN]	T 328
VOLSTAGG	T 328
HELA [ASGARDIAN]	T 328
MEGATAK	T 328
THOR/DR. DONALD BLAK	T 328
SITWELL, JASPER	T 337
LOKI [ASGARDIAN]	T 337
VOLSTAGG	T 337
FURY, COL. NICHOLAS 	T 337
BETA RAY BILL	T 337
SIF	T 337
ODIN [ASGARDIAN]	T 337
HEIMDALL [ASGARDIAN]	T 337
BALDER [ASGARDIAN]	T 337
LORELEI II/MELODI [A	T 337
THOR/DR. DONALD BLAK	T 337
VOLSTAGG	T 338
FURY, COL. NICHOLAS 	T 338
BETA RAY BILL	T 338
THOR/DR. DONALD BLAK	T 338
HEIMDALL [ASGARDIAN]	T 338
LOKI [ASGARDIAN]	T 338
BALDER [ASGARDIAN]	T 338
LORELEI II/MELODI [A	T 338
ODIN [ASGARDIAN]	T 338
SIF	T 338
BALDER [ASGARDIAN]	T 341
SAPRISTI, JERRY	T 341
LANE, LOIS	T 341
LORELEI II/MELODI [A	T 341
KENT, CLARK	T 341
DUGAN, TIMOTHY ALOYI	T 341
ODIN [ASGARDIAN]	T 341
VOLSTAGG	T 341
FURY, COL. NICHOLAS 	T 341
THOR/DR. DONALD BLAK	T 341
KARNILLA [ASGARDIAN]	T 341
LOKI [ASGARDIAN]	T 341
THOR/DR. DONALD BLAK	T 342
KARNILLA [ASGARDIAN]	T 342
BALDER [ASGARDIAN]	T 342
ODIN [ASGARDIAN]	T 342
SAPRISTI, JERRY	T 342
SURTUR	T 342
LORELEI II/MELODI [A	T 342
LOKI [ASGARDIAN]	T 344
THOR/DR. DONALD BLAK	T 344
ODIN [ASGARDIAN]	T 344
MALEKITH/MALCOLM KEI	T 344
FRIGGA	T 344
SAPRISTI, JERRY	T 344
LORELEI II/MELODI [A	T 344
BALDER [ASGARDIAN]	T 344
SURTUR	T 344
HEIMDALL [ASGARDIAN]	T 344
KARNILLA [ASGARDIAN]	T 344
LORELEI II/MELODI [A	T 345
THOR/DR. DONALD BLAK	T 345
SURTUR	T 345
MALEKITH/MALCOLM KEI	T 345
BALDER [ASGARDIAN]	T 345
JARVIS, EDWIN 	T 345
BALDER [ASGARDIAN]	T 346
LORELEI II/MELODI [A	T 346
MALEKITH/MALCOLM KEI	T 346
SURTUR	T 346
THOR/DR. DONALD BLAK	T 346
FANDRAL [ASGARDIAN]	T 347
THOR/DR. DONALD BLAK	T 347
SURTUR	T 347
MALEKITH/MALCOLM KEI	T 347
ODIN [ASGARDIAN]	T 347
BALDER [ASGARDIAN]	T 347
KURSE/ALGRIM [ASGARD	T 347
HOGUN [ASGARDIAN]	T 347
LORELEI II/MELODI [A	T 347
HEIMDALL [ASGARDIAN]	T 347
VOLSTAGG	T 347
LORELEI II/MELODI [A	T 348
VOLSTAGG	T 348
HOGUN [ASGARDIAN]	T 348
MALEKITH/MALCOLM KEI	T 348
KURSE/ALGRIM [ASGARD	T 348
BALDER [ASGARDIAN]	T 348
THOR/DR. DONALD BLAK	T 348
FANDRAL [ASGARDIAN]	T 348
ODIN [ASGARDIAN]	T 348
SURTUR	T 348
HOGUN [ASGARDIAN]	T 349
HEIMDALL [ASGARDIAN]	T 349
LORELEI II/MELODI [A	T 349
ODIN [ASGARDIAN]	T 349
MALEKITH/MALCOLM KEI	T 349
FANDRAL [ASGARDIAN]	T 349
FRIGGA	T 349
SAPRISTI, JERRY	T 349
VOLSTAGG	T 349
THOR/DR. DONALD BLAK	T 349
BALDER [ASGARDIAN]	T 349
SURTUR	T 349
HOGUN [ASGARDIAN]	T 350
ODIN [ASGARDIAN]	T 350
HEIMDALL [ASGARDIAN]	T 350
FRIGGA	T 350
LORELEI II/MELODI [A	T 350
FANDRAL [ASGARDIAN]	T 350
BALDER [ASGARDIAN]	T 350
CAPTAIN MARVEL II/MO	T 350
SIF	T 350
STARFOX/EROS	T 350
EXECUTIONER II/SKURG	T 350
WASP/JANET VAN DYNE 	T 350
SCARLET WITCH/WANDA 	T 350
THOR/DR. DONALD BLAK	T 350
HAROKIN [ASGARDIAN]	T 350
VOLSTAGG	T 350
ENCHANTRESS/AMORA/HE	T 350
TYR	T 350
BETA RAY BILL	T 350
KARNILLA [ASGARDIAN]	T 350
HILDY [ASGARDIAN]	T 350
HUMAN TORCH/JOHNNY S	T 351
KARNILLA [ASGARDIAN]	T 351
EILIF DRAGONSLAYER	T 351
MR. FANTASTIC/REED R	T 351
VOLSTAGG	T 351
VISION 	T 351
HILDY [ASGARDIAN]	T 351
TYR	T 351
HEIMDALL [ASGARDIAN]	T 351
BALDER [ASGARDIAN]	T 351
HOGUN [ASGARDIAN]	T 351
FRIGGA	T 351
HAROKIN [ASGARDIAN]	T 351
FANDRAL [ASGARDIAN]	T 351
STARFOX/EROS	T 351
SURTUR	T 351
THOR/DR. DONALD BLAK	T 351
EXECUTIONER II/SKURG	T 351
BETA RAY BILL	T 351
HERMOD [ASGARDIAN]	T 351
ODIN [ASGARDIAN]	T 351
SIF	T 351
BETA RAY BILL	T 353
KARNILLA [ASGARDIAN]	T 353
HUMAN TORCH/JOHNNY S	T 353
THOR/DR. DONALD BLAK	T 353
CAPTAIN MARVEL II/MO	T 353
SCARLET WITCH/WANDA 	T 353
BALDER [ASGARDIAN]	T 353
LOKI [ASGARDIAN]	T 353
HERCULES [GREEK GOD]	T 353
SURTUR	T 353
VISION 	T 353
HILDY [ASGARDIAN]	T 353
ENCHANTRESS/AMORA/HE	T 353
ODIN [ASGARDIAN]	T 353
SHE-HULK/JENNIFER WA	T 353
FRIGGA	T 353
SIF	T 354
HOGUN [ASGARDIAN]	T 354
BALDER [ASGARDIAN]	T 354
LOKI [ASGARDIAN]	T 354
LORELEI II/MELODI [A	T 354
FANDRAL [ASGARDIAN]	T 354
VOLSTAGG	T 354
FRIGGA	T 354
BETA RAY BILL	T 354
HILDY [ASGARDIAN]	T 354
HEIMDALL [ASGARDIAN]	T 354
THOR/DR. DONALD BLAK	T 354
HELA [ASGARDIAN]	T 354
KARNILLA [ASGARDIAN]	BLDR 1
BALDER [ASGARDIAN]	BLDR 1
HAROKIN [ASGARDIAN]	T 360
SIF	T 360
HOGUN [ASGARDIAN]	T 360
FANDRAL [ASGARDIAN]	T 360
BALDER [ASGARDIAN]	T 360
VOLSTAGG	T 360
HEIMDALL [ASGARDIAN]	T 360
THOR/DR. DONALD BLAK	T 360
FRIGGA	T 360
EXECUTIONER II/SKURG	T 360
ENCHANTRESS/AMORA/HE	T 360
HELA [ASGARDIAN]	T 361
HILDY [ASGARDIAN]	T 361
VOLSTAGG	T 361
HAROKIN [ASGARDIAN]	T 361
THOR/DR. DONALD BLAK	T 361
FANDRAL [ASGARDIAN]	T 361
BALDER [ASGARDIAN]	T 361
SIF	T 361
HOGUN [ASGARDIAN]	T 361
FRIGGA	T 361
EXECUTIONER II/SKURG	T 361
HELA [ASGARDIAN]	T 362
THOR/DR. DONALD BLAK	T 362
HAROKIN [ASGARDIAN]	T 362
EXECUTIONER II/SKURG	T 362
BALDER [ASGARDIAN]	T 362
MAGMA/AMARA AQUILLA/	T 362
UTGARD-LOKI	BLDR 2
KARNILLA [ASGARDIAN]	BLDR 2
BALDER [ASGARDIAN]	BLDR 2
KARNILLA [ASGARDIAN]	BLDR 3
BALDER [ASGARDIAN]	BLDR 3
UTGARD-LOKI	BLDR 3
HOGUN [ASGARDIAN]	BLDR 4
KARNILLA [ASGARDIAN]	BLDR 4
UTGARD-LOKI	BLDR 4
BALDER [ASGARDIAN]	BLDR 4
BALDER [ASGARDIAN]	M/CP 66/4
HOGUN [ASGARDIAN]	M/CP 66/4
VOLSTAGG	M/CP 66/4
ENCHANTRESS/AMORA/HE	M/CP 66/4
FANDRAL [ASGARDIAN]	M/CP 66/4
KARNILLA [ASGARDIAN]	M/CP 66/4
MALEKITH/MALCOLM KEI	T 368
THOR/DR. DONALD BLAK	T 368
VOLSTAGG	T 368
HOGUN [ASGARDIAN]	T 368
KURSE/ALGRIM [ASGARD	T 368
FANDRAL [ASGARDIAN]	T 368
LORELEI II/MELODI [A	T 368
LOKI [ASGARDIAN]	T 368
HEIMDALL [ASGARDIAN]	T 368
ZANIAC II/THUG THATC	T 368
BALDER [ASGARDIAN]	T 368
ZANIAC II/THUG THATC	T 369
THOR/DR. DONALD BLAK	T 369
BALDER [ASGARDIAN]	T 369
VOLSTAGG	T 371
BALDER [ASGARDIAN]	T 371
BETA RAY BILL	T 371
ZANIAC II/THUG THATC	T 371
THOR/DR. DONALD BLAK	T 371
SIF	T 371
FRIGGA	T 371
ZANIAC/BRAD WOLFE	T 371
FANDRAL [ASGARDIAN]	T 371
HOGUN [ASGARDIAN]	T 371
JUSTICE PEACE	T 371
ZANIAC II/THUG THATC	T 372
HELA [ASGARDIAN]	T 372
SIF	T 372
KINCAID, DR. KEITH	T 372
KINCAID, DR. JANE FO	T 372
BALDER [ASGARDIAN]	T 372
BETA RAY BILL	T 372
FANDRAL [ASGARDIAN]	T 372
JUSTICE PEACE	T 372
THOR/DR. DONALD BLAK	T 372
VOLSTAGG	T 372
HOGUN [ASGARDIAN]	T 372
LOKI [ASGARDIAN]	T 378
SIF	T 378
HOGUN [ASGARDIAN]	T 378
HILDY [ASGARDIAN]	T 378
ICEMAN/ROBERT BOBBY 	T 378
BALDER [ASGARDIAN]	T 378
FANDRAL [ASGARDIAN]	T 378
HEIMDALL [ASGARDIAN]	T 378
ENCHANTRESS/AMORA/HE	T 378
THOR/DR. DONALD BLAK	T 378
VOLSTAGG	T 378
BALDER [ASGARDIAN]	T 379
ICEMAN/ROBERT BOBBY 	T 379
HEIMDALL [ASGARDIAN]	T 379
HILDY [ASGARDIAN]	T 379
FANDRAL [ASGARDIAN]	T 379
THOR/DR. DONALD BLAK	T 379
FIREFIST/RUSTY COLLI	T 379
SIF	T 379
LOKI [ASGARDIAN]	T 379
FIN FANG FOOM/MIDGAR	T 379
ENCHANTRESS/AMORA/HE	T 379
KURSE/ALGRIM [ASGARD	T 379
MEPHISTO	T 381
UTGARD-LOKI	T 381
WONDER MAN/SIMON WIL	T 381
BALDER [ASGARDIAN]	T 381
DR. DRUID/ANTHONY LU	T 381
HILDY [ASGARDIAN]	T 381
DESTROYER III	T 381
TIGRA/GREER NELSON	T 381
CAPTAIN MARVEL II/MO	T 381
IRON MAN/TONY STARK 	T 381
KURSE/ALGRIM [ASGARD	T 381
HUGIN	T 381
SHE-HULK/JENNIFER WA	T 381
LOKI [ASGARDIAN]	T 381
VOLSTAGG	T 381
THOR/DR. DONALD BLAK	T 381
BLACK KNIGHT V/DANE 	T 381
HAWK	T 381
CAPTAIN AMERICA	T 381
MUNIN	T 381
MOCKINGBIRD/DR. BARB	T 381
BALDER [ASGARDIAN]	T 382
HELA [ASGARDIAN]	T 382
KURSE/ALGRIM [ASGARD	T 382
UTGARD-LOKI	T 382
LOKI [ASGARDIAN]	T 382
HILDY [ASGARDIAN]	T 382
EXECUTIONER II/SKURG	T 382
DESTROYER III	T 382
VOLSTAGG	T 382
THOR/DR. DONALD BLAK	T 382
THOR/DR. DONALD BLAK	T 386
LEIR	T 386
VOLSTAGG	T 386
VIZIER	T 386
FANDRAL [ASGARDIAN]	T 386
HOGUN [ASGARDIAN]	T 386
SETH II	T 386
BALDER [ASGARDIAN]	T 386
STINGRAY/DR. WALTER 	T 390
BALDER [ASGARDIAN]	T 390
VOLSTAGG	T 390
CAPTAIN MARVEL II/MO	T 390
CAPTAIN AMERICA	T 390
BLACK KNIGHT V/DANE 	T 390
SHE-HULK/JENNIFER WA	T 390
THOR/DR. DONALD BLAK	T 390
HOGUN [ASGARDIAN]	T 390
SUB-MARINER/NAMOR MA	T 390
DR. DRUID/ANTHONY LU	T 390
MARRINA/MARRINA SMAL	T 390
SETH II	T 390
FANDRAL [ASGARDIAN]	T 390
THUNDERSTRIKE/ERIC K	T 391
FANDRAL [ASGARDIAN]	T 391
VOLSTAGG	T 391
SAPRISTI, JERRY	T 391
MONGOOSE	T 391
THOR/DR. DONALD BLAK	T 391
HOGUN [ASGARDIAN]	T 391
VIZIER	T 391
BALDER [ASGARDIAN]	T 391
SPIDER-MAN/PETER PAR	T 391
THUNDERSTRIKE/ERIC K	T 393
BALDER [ASGARDIAN]	T 393
HOGUN [ASGARDIAN]	T 393
ENCHANTRESS/AMORA/HE	T 393
VIZIER	T 393
VOLSTAGG	T 393
DAREDEVIL/MATT MURDO	T 393
THOR/DR. DONALD BLAK	T 393
QUICKSAND	T 393
BLOODAXE/JACKIE LUKU	T 393
SAPRISTI, JERRY	T 393
HEIMDALL [ASGARDIAN]	T 393
FANDRAL [ASGARDIAN]	T 393
KINCAID, DR. JANE FO	T 394
FANDRAL [ASGARDIAN]	T 394
DAREDEVIL/MATT MURDO	T 394
KINCAID, JIMMY	T 394
VOLSTAGG	T 394
HOGUN [ASGARDIAN]	T 394
VIZIER	T 394
KINCAID, DR. KEITH	T 394
HOBBS, HARRIS	T 394
BALDER [ASGARDIAN]	T 394
VOLSTAGG	T 395
THOR/DR. DONALD BLAK	T 395
DAREDEVIL/MATT MURDO	T 395
HOGUN [ASGARDIAN]	T 395
BALDER [ASGARDIAN]	T 395
FANDRAL [ASGARDIAN]	T 395
VIZIER	T 395
SETH II	T 395
BALDER [ASGARDIAN]	T 396
VIZIER	T 396
SETH II	T 396
SIF	T 396
FANDRAL [ASGARDIAN]	T 396
THOR/DR. DONALD BLAK	T 396
VOLSTAGG	T 396
HEIMDALL [ASGARDIAN]	T 396
BLACK KNIGHT V/DANE 	T 396
HOGUN [ASGARDIAN]	T 396
LOKI [ASGARDIAN]	T 397
FANDRAL [ASGARDIAN]	T 397
SIF	T 397
VOLSTAGG	T 397
BLACK KNIGHT V/DANE 	T 397
SETH II	T 397
THOR/DR. DONALD BLAK	T 397
HOGUN [ASGARDIAN]	T 397
BALDER [ASGARDIAN]	T 397
HILDY [ASGARDIAN]	T 397
HOGUN [ASGARDIAN]	T 398
SETH II	T 398
ODIN [ASGARDIAN]	T 398
ENCHANTRESS/AMORA/HE	T 398
VOLSTAGG	T 398
BLACK KNIGHT V/DANE 	T 398
LEIR	T 398
HEIMDALL [ASGARDIAN]	T 398
LORELEI II/MELODI [A	T 398
BALDER [ASGARDIAN]	T 398
HORUS [EGYPTIAN GOD]	T 398
LOKI [ASGARDIAN]	T 398
SIF	T 398
THOR/DR. DONALD BLAK	T 398
VIZIER	T 398
FANDRAL [ASGARDIAN]	T 398
ZEUS	T 398
LORELEI II/MELODI [A	T 399
LEIR	T 399
BLACK KNIGHT V/DANE 	T 399
LOKI [ASGARDIAN]	T 399
HORUS [EGYPTIAN GOD]	T 399
SETH II	T 399
ENCHANTRESS/AMORA/HE	T 399
SURTUR	T 399
ODIN [ASGARDIAN]	T 399
HOGUN [ASGARDIAN]	T 399
KARNILLA [ASGARDIAN]	T 399
THOR/DR. DONALD BLAK	T 399
TYR	T 399
BALDER [ASGARDIAN]	T 399
SIF	T 399
TYR	T 400
BALDER [ASGARDIAN]	T 400
LORELEI II/MELODI [A	T 400
HEIMDALL [ASGARDIAN]	T 400
LEIR	T 400
HORUS [EGYPTIAN GOD]	T 400
BLACK KNIGHT V/DANE 	T 400
FANDRAL [ASGARDIAN]	T 400
SIF	T 400
THOR/DR. DONALD BLAK	T 400
ENCHANTRESS/AMORA/HE	T 400
VOLSTAGG	T 400
GORGON [INHUMAN]	T 400
VIZIER	T 400
TRITON	T 400
ODIN [ASGARDIAN]	T 400
KARNILLA [ASGARDIAN]	T 400
SETH II	T 400
HOGUN [ASGARDIAN]	T 400
SURTUR	T 400
KARNAK [INHUMAN]	T 400
CAPTAIN AMERICA	T 402
SAPRISTI, JERRY	T 402
MR. FANTASTIC/REED R	T 402
ODIN [ASGARDIAN]	T 402
LORELEI II/MELODI [A	T 402
HEIMDALL [ASGARDIAN]	T 402
VIZIER	T 402
HELA [ASGARDIAN]	T 402
MASTERSON, KEVIN	T 402
EXECUTIONER II/SKURG	T 402
EXECUTIONER III/BRUT	T 402
THOR/DR. DONALD BLAK	T 402
FORGOTTEN ONE/GILGAM	T 402
ENCHANTRESS/AMORA/HE	T 402
THUNDERSTRIKE/ERIC K	T 402
BALDER [ASGARDIAN]	T 402
INVISIBLE WOMAN/SUE 	T 402
MONGOOSE	T 402
QUICKSAND	T 402
TIWAZ	NM 84
MIRAGE II/DANIELLE M	NM 84
CANNONBALL II/SAM GU	NM 84
FANDRAL [ASGARDIAN]	NM 84
FIREFIST/RUSTY COLLI	NM 84
WOLFSBANE/RAHNE SINC	NM 84
HRIMHARI	NM 84
SUNSPOT/ROBERTO DACO	NM 84
BALDER [ASGARDIAN]	NM 84
BOOMER/TABITHA SMITH	NM 84
WARLOCK III	NM 84
HELA [ASGARDIAN]	NM 84
KARNILLA [ASGARDIAN]	NM 84
VOLSTAGG	NM 84
RICTOR/JULIO ESTEBAN	NM 84
EITRI	NM 84
VULTURE/ADRIAN TOOME	NM 84
HILDY [ASGARDIAN]	NM 84
HOGUN [ASGARDIAN]	NM 84
FANDRAL [ASGARDIAN]	NM 85
HELA [ASGARDIAN]	NM 85
EXECUTIONER II/SKURG	NM 85
SKIDS/SALLY BLEVINS	NM 85
RICTOR/JULIO ESTEBAN	NM 85
BOOMER/TABITHA SMITH	NM 85
CANNONBALL II/SAM GU	NM 85
HOGUN [ASGARDIAN]	NM 85
WOLFSBANE/RAHNE SINC	NM 85
MIRAGE II/DANIELLE M	NM 85
KARNILLA [ASGARDIAN]	NM 85
SUNSPOT/ROBERTO DACO	NM 85
FIREFIST/RUSTY COLLI	NM 85
HILDY [ASGARDIAN]	NM 85
VOLSTAGG	NM 85
ODIN [ASGARDIAN]	NM 85
HRIMHARI	NM 85
BALDER [ASGARDIAN]	NM 85
VULTURE/ADRIAN TOOME	NM 85
EITRI	NM 85
WARLOCK III	NM 85
MIRAGE II/DANIELLE M	NM 86
STROBE/	NM 86
NITRO/ROBERT L. HUNT	NM 86
WARLOCK III	NM 86
BOOMER/TABITHA SMITH	NM 86
PYRO/ALLERDYCE JOHNN	NM 86
VULTURE/ADRIAN TOOME	NM 86
SUMMERS, NATHAN CHRI	NM 86
FANDRAL [ASGARDIAN]	NM 86
CRIMSON COMMANDO/FRA	NM 86
FIREFIST/RUSTY COLLI	NM 86
WILDSIDE	NM 86
TINKERER	NM 86
BALDER [ASGARDIAN]	NM 86
SKIDS/SALLY BLEVINS	NM 86
RICTOR/JULIO ESTEBAN	NM 86
WOLFSBANE/RAHNE SINC	NM 86
CANNONBALL II/SAM GU	NM 86
ZERO	NM 86
VOLSTAGG	NM 86
HRIMHARI	NM 86
SUNSPOT/ROBERTO DACO	NM 86
HILDY [ASGARDIAN]	NM 86
EITRI	NM 86
HOGUN [ASGARDIAN]	NM 86
BLOB/FRED J. DUKES	NM 86
MIRAGE II/DANIELLE M	NM 87
FIREFIST/RUSTY COLLI	NM 87
KARNILLA [ASGARDIAN]	NM 87
SUMMERS, NATHAN CHRI	NM 87
FANDRAL [ASGARDIAN]	NM 87
MYSTIQUE/RAVEN DARKH	NM 87
WOLFSBANE/RAHNE SINC	NM 87
THUMBELLINA	NM 87
HRIMHARI	NM 87
WARLOCK III	NM 87
BOOMER/TABITHA SMITH	NM 87
CANNONBALL II/SAM GU	NM 87
EITRI	NM 87
REAPER II	NM 87
FOREARM	NM 87
VOLSTAGG	NM 87
RICTOR/JULIO ESTEBAN	NM 87
ZERO	NM 87
STROBE/	NM 87
BALDER [ASGARDIAN]	NM 87
SKIDS/SALLY BLEVINS	NM 87
WILDSIDE	NM 87
SUNSPOT/ROBERTO DACO	NM 87
TEMPO	NM 87
HOGUN [ASGARDIAN]	NM 87
STRYFE	NM 87
BALDER [ASGARDIAN]	T@ 15/3
VOLSTAGG	T@ 15/3
FANDRAL [ASGARDIAN]	T@ 15/3
THOR/DR. DONALD BLAK	T@ 15/3
HOGUN [ASGARDIAN]	T@ 15/3
ODIN [ASGARDIAN]	T@ 15/3
THERMAL MAN	T@ 15/3
VIZIER	T@ 15/3
HEIMDALL [ASGARDIAN]	T 423/2
BALDER [ASGARDIAN]	T 423/2
FANDRAL [ASGARDIAN]	T 423/2
YMIR	T 423/2
ODIN [ASGARDIAN]	T 423/2
HOGUN [ASGARDIAN]	T 423/2
VOLSTAGG	T 423/2
VIZIER	T 423/2
HEIMDALL [ASGARDIAN]	T 424/2
FANDRAL [ASGARDIAN]	T 424/2
HOGUN [ASGARDIAN]	T 424/2
ODIN [ASGARDIAN]	T 424/2
VOLSTAGG	T 424/2
SURTUR	T 424/2
BALDER [ASGARDIAN]	T 424/2
YMIR	T 424/2
VIZIER	T 424/2
PILEDRIVER II/BRIAN 	T 426
RUIZ, RIGGER	T 426
HERCULES [GREEK GOD]	T 426
THOR/DR. DONALD BLAK	T 426
CONKLIN, CAPT.	T 426
WRECKER III/DIRK GAR	T 426
HEIMDALL [ASGARDIAN]	T 426
VOLSTAGG	T 426
JACKSON, ANDREW JOCK	T 426
FIELSTEIN, FIREWORKS	T 426
HOGUN [ASGARDIAN]	T 426
BULLDOZER/HENRY CAMP	T 426
LOKI [ASGARDIAN]	T 426
STONE, LT. MARCUS	T 426
SIF	T 426
RASSITANO, MAD DOG	T 426
ULIK	T 426
BALDER [ASGARDIAN]	T 426
CABER	T 426
LEIR	T 426
FANDRAL [ASGARDIAN]	T 426
ODIN [ASGARDIAN]	T 426
VIZIER	T 426
MAJOWSKI, SAM MOTHER	T 426
THUNDERBALL/DR. ELIO	T 426
KARNILLA [ASGARDIAN]	T 437/2
BALDER [ASGARDIAN]	T 437/2
LORELEI II/MELODI [A	T 437/2
HOGUN [ASGARDIAN]	T 437/2
DESTROYER III	T 437/2
SIF	T 437/2
HEIMDALL [ASGARDIAN]	T 437/2
FANDRAL [ASGARDIAN]	T 437/2
BALDER [ASGARDIAN]	T 438/2
DESTROYER III	T 438/2
GARM	T 438/2
SIF	T 438/2
LORELEI II/MELODI [A	T 438/2
HELA [ASGARDIAN]	T 438/2
GAR-TOOM	T 439/2
DESTROYER III	T 439/2
SIF	T 439/2
BALDER [ASGARDIAN]	T 439/2
HELA [ASGARDIAN]	T 439/2
LORELEI II/MELODI [A	T 439/2
SIF	T 440/2
DESTROYER III	T 440/2
BALDER [ASGARDIAN]	T 440/2
LORELEI II/MELODI [A	T 440/2
GAR-TOOM	T 440/2
LORELEI II/MELODI [A	T 441/2
SIF	T 441/2
BALDER [ASGARDIAN]	T 441/2
DESTROYER III	T 441/2
HELA [ASGARDIAN]	T 441/2
BETA RAY BILL	T 442/2
BALDER [ASGARDIAN]	T 442/2
SIF	T 442/2
UROC	T 447/2
KARNILLA [ASGARDIAN]	T 447/2
SIF	T 447/2
VOLSTAGG	T 447/2
ZON	T 447/2
HOGUN [ASGARDIAN]	T 447/2
HEIMDALL [ASGARDIAN]	T 447/2
NOBILUS	T 447/2
BALDER [ASGARDIAN]	T 447/2
JUVAN	T 447/2
KARNILLA [ASGARDIAN]	T 448/2
BALDER [ASGARDIAN]	T 448/2
TAGAR	T 448/2
EGO	T 448/2
JUVAN	T 448/2
ZON	T 448/2
SIF	T 448/2
NOBILUS	T 448/2
ENCHANTRESS/AMORA/HE	T 448/2
LOKI [ASGARDIAN]	T 452
MEPHISTO	T 452
BLOODAXE/JACKIE LUKU	T 452
SIF	T 452
BALDER [ASGARDIAN]	T 452
KARNILLA [ASGARDIAN]	T 452
THUNDERSTRIKE/ERIC K	T 452
BETA RAY BILL	T 478
HEIMDALL [ASGARDIAN]	T 478
ODIN [ASGARDIAN]	T 478
HIGH EVOLUTIONARY/HE	T 478
FANDRAL [ASGARDIAN]	T 478
SIF	T 478
HOGUN [ASGARDIAN]	T 478
BALDER [ASGARDIAN]	T 478
THOR II/ROGER RED NO	T 478
THOR/DR. DONALD BLAK	T 478
THOR/DR. DONALD BLAK	T 479
LOKI [ASGARDIAN]	T 479
SIGYN	T 479
FRIGGA	T 479
BETA RAY BILL	T 479
BALDER [ASGARDIAN]	T 479
VOLSTAGG	T 479
KINCAID, DR. JANE FO	T 479
BLAKE, DR. DONALD	T 479
SIF	T 479
ODIN [ASGARDIAN]	T 479
THOR II/ROGER RED NO	T 479
FANDRAL [ASGARDIAN]	T 479
HOGUN [ASGARDIAN]	T 479
SIF	TS 18/2
FANDRAL [ASGARDIAN]	TS 18/2
HEIMDALL [ASGARDIAN]	TS 18/2
VOLSTAGG	TS 18/2
BALDER [ASGARDIAN]	TS 18/2
HOGUN [ASGARDIAN]	TS 18/2
THOR II/ROGER RED NO	JIM 503
BALDER [ASGARDIAN]	JIM 503
ODIN [ASGARDIAN]	JIM 503
SIF	JIM 503
LOKI [ASGARDIAN]	JIM 503
SNAGG	JIM 503
ENCHANTRESS/AMORA/HE	JIM 504
HERMOD [ASGARDIAN]	JIM 504
PYLLAR	JIM 504
ULIK	JIM 504
SIF	JIM 504
STONE, LT. MARCUS	JIM 504
VOLSTAGG	JIM 504
FANDRAL [ASGARDIAN]	JIM 504
VIZIER	JIM 504
BALDER [ASGARDIAN]	JIM 504
MROTH	JIM 504
FRIGGA	JIM 504
LOKI [ASGARDIAN]	JIM 504
GEIRRODUR	JIM 504
PYLLAR	JIM 505
STONE, LT. MARCUS	JIM 505
WRECKER III/DIRK GAR	JIM 505
VOLSTAGG	JIM 505
ENCHANTRESS/AMORA/HE	JIM 505
MROTH	JIM 505
VIZIER	JIM 505
BALDER [ASGARDIAN]	JIM 505
FANDRAL [ASGARDIAN]	JIM 505
ULIK	JIM 505
HERMOD [ASGARDIAN]	JIM 505
GEIRRODUR	JIM 505
SIF	JIM 505
LOKI [ASGARDIAN]	JIM 505
SPIDER-MAN/PETER PAR	JIM 505
PILEDRIVER II/BRIAN 	JIM 505
RUIZ, RIGGER	JIM 505
RASSITANO, MAD DOG	JIM 505
GUDRUN [ASGARDIAN]	JIM 505
THUNDERBALL/DR. ELIO	JIM 505
BULLDOZER/HENRY CAMP	JIM 505
ODIN [ASGARDIAN]	JIM 505
FRIGGA	JIM 505
SIF	JIM 509
ENCHANTRESS/AMORA/HE	JIM 509
VIZIER	JIM 509
SETH II	JIM 509
HOGUN [ASGARDIAN]	JIM 509
THOR II/ROGER RED NO	JIM 509
HEIMDALL [ASGARDIAN]	JIM 509
VOLSTAGG	JIM 509
PYLLAR	JIM 509
MROTH	JIM 509
HERMOD [ASGARDIAN]	JIM 509
LOKI [ASGARDIAN]	JIM 509
LORELEI II/MELODI [A	JIM 509
FRIGGA	JIM 509
ULIK	JIM 509
BALDER [ASGARDIAN]	JIM 509
FANDRAL [ASGARDIAN]	JIM 509
ODIN [ASGARDIAN]	JIM 509
LORELEI II/MELODI [A	JIM 510
ULIK	JIM 510
HERMOD [ASGARDIAN]	JIM 510
ODIN [ASGARDIAN]	JIM 510
FANDRAL [ASGARDIAN]	JIM 510
LOKI [ASGARDIAN]	JIM 510
VIZIER	JIM 510
BALDER [ASGARDIAN]	JIM 510
HEIMDALL [ASGARDIAN]	JIM 510
